id,transaction_id,address_id,match_type,confidence_score,matched_at
117,none-590-lorimer-street-unit-1-brooklyn-ny-11211,15947,phonetic,0.6,2025-05-05T21:24:21.410444
118,none-270-south-2nd-street-none-brooklyn-ny-11211,1294,phonetic,0.6,2025-05-05T21:24:21.412259
119,none-128-woodpoint-road-unit-2-brooklyn-ny-11211,3958,phonetic,0.6,2025-05-05T21:24:21.414409
120,none-135-jackson-street-unit-1b-brooklyn-ny-11211,5029,phonetic,0.6,2025-05-05T21:24:21.416813
121,none-212-north-9th-street-unit-3c-brooklyn-ny-11211,414,phonetic,0.6,2025-05-05T21:24:21.433153
122,none-170-north-11th-street-unit-3d-brooklyn-ny-11211,1281,phonetic,0.6,2025-05-05T21:24:21.434938
123,none-20-bayard-street-unit-11b-brooklyn-ny-11211,161,phonetic,0.6,2025-05-05T21:24:21.439191
124,none-976-metropolitan-avenue-unit-1b-brooklyn-ny-11211,27416,phonetic,0.6,2025-05-05T21:24:21.440879
125,none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,1902,phonetic,0.6,2025-05-05T21:24:21.442589
126,none-214-north-11th-street-unit-1l-brooklyn-ny-11211,222,phonetic,0.6,2025-05-05T21:24:21.444348
127,none-176-south-4th-street-unit-4a-brooklyn-ny-11211,94,phonetic,0.6,2025-05-05T21:24:21.446066
128,none-339-bedford-avenue-unit-8-brooklyn-ny-11211,994,phonetic,0.6,2025-05-05T21:24:21.447827
129,none-190-south-1st-street-unit-4b-brooklyn-ny-11211,1880,phonetic,0.6,2025-05-05T21:24:21.453394
130,none-476-union-avenue-unit-4bb-brooklyn-ny-11211,5863,phonetic,0.6,2025-05-05T21:24:21.461951
131,none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,82,phonetic,0.6,2025-05-05T21:24:21.463639
132,none-181-jackson-street-unit-ph-brooklyn-ny-11211,15521,phonetic,0.6,2025-05-05T21:24:21.472891
133,none-149-conselyea-street-unit-4a-brooklyn-ny-11211,229,phonetic,0.6,2025-05-05T21:24:21.474594
134,none-171-north-1st-street-unit-5b-brooklyn-ny-11211,45,phonetic,0.6,2025-05-05T21:24:21.477968
135,none-323-south-5th-street-unit-4-brooklyn-ny-11211,3189,phonetic,0.6,2025-05-05T21:24:21.479732
136,none-234-powers-street-none-brooklyn-ny-11211,8940,phonetic,0.6,2025-05-05T21:24:21.482190
137,none-80-roebling-street-unit-1-brooklyn-ny-11211,632,phonetic,0.6,2025-05-05T21:24:21.483850
138,none-237-devoe-street-unit-1r-brooklyn-ny-11211,1985,phonetic,0.6,2025-05-05T21:24:21.485582
139,none-1-powers-street-unit-602-brooklyn-ny-11211,178,phonetic,0.6,2025-05-05T21:24:21.487169
140,none-108-jackson-street-unit-1a-brooklyn-ny-11211,923,phonetic,0.6,2025-05-05T21:24:21.488855
141,none-50-bayard-street-unit-3n-brooklyn-ny-11211,344,phonetic,0.6,2025-05-05T21:24:21.490545
142,none-532-lorimer-street-unit-1b-williamsburg-ny-11211,4391,phonetic,0.6,2025-05-05T21:24:21.492158
143,none-207-north-8th-street-unit-ph-brooklyn-ny-11211,264,phonetic,0.6,2025-05-05T21:24:21.493754
144,none-40-skillman-avenue-unit-3b-brooklyn-ny-11211,7148,phonetic,0.6,2025-05-05T21:24:21.498417
145,none-1-powers-street-unit-602-brooklyn-ny-11211-0,178,phonetic,0.6,2025-05-05T21:24:21.502205
146,none-150-north-5th-street-unit-1h-brooklyn-ny-11211,1845,phonetic,0.6,2025-05-05T21:24:21.504147
147,none-128-woodpoint-road-unit-2-brooklyn-ny-11211-0,3958,phonetic,0.6,2025-05-05T21:24:21.505810
148,none-323-south-5th-street-unit-4-brooklyn-ny-11211-0,3189,phonetic,0.6,2025-05-05T21:24:21.507567
149,none-139-skillman-avenue-unit-7a-brooklyn-ny-11211,82,phonetic,0.6,2025-05-05T21:24:21.509211
